jaar	temp
1833	8.75
1834	10.65
1835	9.05
1836	9.25
1837	8.35
1838	7.65
1839	9.05
1840	8.25
1841	9.05
1842	8.75
1843	9.15
1844	8.05
1845	7.75
1846	9.95
1847	8.45
1848	9.05
1849	8.85
1850	8.35
1851	8.85
1852	9.85
1853	8.15
1854	8.95
1855	7.45
1856	8.95
1857	9.85
1858	8.55
1859	9.75
1860	7.75
1861	8.85
1862	9.65
1863	9.65
1864	7.85
1865	9.45
1866	9.45
1867	8.85
1868	10.15
1869	9.05
1870	8.05
1871	7.85
1872	10.05
1873	8.95
1874	8.95
1875	8.65
1876	9.05
1877	9.35
1878	8.95
1879	7.05
1880	9.35
1881	8.45
1882	9.05
1883	8.95
1884	9.45
1885	8.35
1886	8.85
1887	7.55
1888	7.55
1889	8.25
1890	8.15
1891	8.25
1892	8.45
1893	9.35
1894	9.25
1895	8.35
1896	8.65
1897	9.25
1898	9.55
1899	9.25
1900	9.45
1901	8.85
1902	8.45
1903	9.35
1904	9.15
1905	8.95
1906	9.35
1907	8.95
1908	8.85
1909	8.65
1910	9.75
1911	10.45
1912	9.75
1913	10.05
1914	9.85
1915	9.35
1916	9.55
1917	8.45
1918	9.85
1919	8.65
1920	9.75
1921	10.55
1922	8.65
1923	9.35
1924	9.15
1925	9.15
1926	9.95
1927	9.35
1928	9.75
1929	8.95
1930	10.05
1931	9.15
1932	9.75
1933	9.15
1934	10.35
1935	9.75
1936	9.65
1937	9.85
1938	9.85
1939	9.85
1940	8.75
1941	9.15
1942	8.95
1943	10.15
1944	9.55
1945	10.35
1946	9.35
1947	10.25
1948	10.15
1949	10.35
1950	9.85
1951	9.85
1952	9.35
1953	9.95
1954	9.35
1955	9.25
1956	8.45
1957	10.15
1958	9.65
1959	10.65
1960	10.05
1961	10.45
1962	8.65
1963	8.45
1964	9.65
1965	9.15
1966	10.05
1967	10.05
1968	9.35
1969	9.65
1970	9.65
1971	9.95
1972	9.35
1973	9.75
1974	10.05
1975	9.95
1976	10.45
1977	9.85
1978	9.45
1979	9.05
1980	9.45
1981	9.75
1982	10.55
1983	10.55
1984	9.95
1985	8.95
1986	9.45
1987	9.25
1988	10.65
1989	11.35
1990	11.25
1991	10.05
1992	10.65
1993	10.15
1994	11.15
1995	10.95
1996	9.15
1997	10.85
1998	10.65
1999	11.15
2000	11.25
2001	10.75
2002	11.25
2003	11.15
2004	10.75
2005	11.05
2006	11.45
2007	11.55
2008	10.95
2009	11.05
2010	9.75
2011	11.65
2012	10.65
2013	10.15
2014	11.95
2015	11.35
2016	10.65
2017	11.35
2018	11.95
2019	11.55
2020	12.25
2021	10.75
2022	12.21
2023	12.14
